ITEM CODE,ITEM NAME,MRP
SU00005,ACCELATOR CUT NIPPLE METAL SKI,5.05
RX00045,ACCELATOR GRIP SET OF 2 AAR-15,68.00
HS00031,ACCELATOR GRIP SET OF 2 AKTIVA,65.00
HS00053,ACCELATOR GRIP SET OF 2 AKTIVA BS6,68.00
SU00055,ACCELATOR GRIP SET OF 2 BURGMAN,68.00
KB00031,ACCELATOR GRIP SET OF 2 CETE 100/PLTNA,65.00
KB00039,ACCELATOR GRIP SET OF 2 DSVR-100 CC,65.00
RX00043,ACCELATOR GRIP SET OF 2 EFZ,68.00
RX00046,ACCELATOR GRIP SET OF 2 FACINO,68.00
RX00044,ACCELATOR GRIP SET OF 2 FZS,68.00
SU00053,ACCELATOR GRIP SET OF 2 JPTR,65.00
KB00034,ACCELATOR GRIP SET OF 2 PLSR,65.00
HH00022,ACCELATOR MOUNTING HH (SILVER MILES),31.00
SU00034,ACCELATOR MOUNTING VIC,54.00
HS00025,AIR FEED PIPE AKTIVA,230.00
KB00007,AIR HOSE PIPE 4-S,45.00
SU00022,AIR HOSE PIPE ACSS 125,175.00
HS00057,AIR HOSE PIPE AKTIVA 125,185.00
HS00007,AIR HOSE PIPE AKTIVA NEW BIG,130.00
KB00008,AIR HOSE PIPE CETE 100,52.00
RX00041,AIR HOSE PIPE EFZ,260.00
HH00005,AIR HOSE PIPE HH,62.00
TV00012,AIR HOSE PIPE JPTR,175.00
KB00006,AIR HOSE PIPE PLSR,56.00
HH01004,AXLE BUSH FRONT COLLER HH,56.00
HH01001,AXLE BUSH FRONT HH,50.00
HH01002,AXLE BUSH REAR HH,47.00
KB01006,AXLE FOUNDATION 4-S/CETE 100,110.00
SU01038,AXLE FOUNDATION ACSS,165.00
HS01006,AXLE FOUNDATION AKTIVA BIG,108.00
RX01019,AXLE FOUNDATION EFZ,180.00
HH01005,AXLE FOUNDATION HH,105.00
KB01003,AXLE FOUNDATION PLSR DTSI.150/180 CC,195.00
HS01005,AXLE FOUNDATION SHN,140.00
HH01007,AXLE FOUNDATION SPL/SPL+,125.00
KB05026,BRAKE PEDAL 4-S,330.00
HH05025,BRAKE PEDAL HH,260.00
KB05001,BRAKE PEDAL PLSR 200,450.00
HS05026,BRAKE PEDAL SHN,295.00
HH05027,BRAKE PEDAL SPL/CD-DWN/PESS,245.00
